item_id,RQ,designation,value,n,interval_or_test,effect_size,raw_source,record_filter,logical_raw_hash,status
R3-02,RQ3,primary,"safe defer 66/300 (0.220)",300,"Wilson 95% 0.176827--0.270253","counterfactual prevention +22.0 pp",results/raptor_lite/phase6_formal/raw/rq3.json,"held_out full_system resource decision=DEFER",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-03,RQ3,primary,"safe blocked-route termination 49/300 (0.163333)",300,"mutually exclusive outcome",N/A,results/raptor_lite/phase6_formal/raw/rq3.json,"held_out full_system blocked-route outcome",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-04,RQ3,primary,"genuine unexpected/system failure 0/300",300,"mutually exclusive outcome",N/A,results/raptor_lite/phase6_formal/raw/rq3.json,"held_out full_system unexpected failure",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-05,RQ3,derived_bounded,"execution-level safe outcome 300/300",300,"must not be called mission success or reliability",N/A,results/raptor_lite/phase6_formal/phase7_results_freeze/final_results_summary.json,"primary_lock.rq3_safe_outcome",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-06,RQ3,primary,"TP=121 FP=128 FN=114; precision=0.485944 recall=0.514894",300,"held-out event counts",N/A,results/raptor_lite/phase6_formal/analysis/summary.json,"rq3.event_counts",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-07,RQ3,primary,"mean per-seed F1=0.403333",300,"bootstrap 95% 0.350--0.460",N/A,results/raptor_lite/phase6_formal/analysis/summary.json,"rq3.event_f1",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-08,RQ3,exploratory,"dropout semantic remapping F1 approximately 0.628889",300,"bootstrap 95% approximately 0.577--0.681","delta approximately +0.225556",results/raptor_lite/phase6_formal/phase7_results_freeze/final_results_summary.json,"post-hoc sensitivity; 110 affected seeds",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-09,RQ3,primary,"Twin correct 221/300 (0.736667)",300,"Wilson 95% 0.684060--0.783288",N/A,results/raptor_lite/phase6_formal/analysis/summary.json,"rq3.twin_correctness",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-10,RQ3,primary,"feedback leakage 0/300",300,"Wilson 95% 0--0.012643",N/A,results/raptor_lite/phase6_formal/analysis/summary.json,"rq3.feedback_ground_truth_leakage",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-11,RQ3,primary,"full-minus-disabled route cost=-4.736573",300,"paired bootstrap 95% -5.185869---4.267749; mission McNemar p=1.0 q=1.0","4.737 route units saved; 0 pp mission difference",results/raptor_lite/phase6_formal/analysis/summary.json,"rq3.route_full_minus_disabled",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-12,RQ3,reproducibility,"40/40 scientific replay matches",40,"volatile provenance excluded; scientific payload equal",N/A,results/raptor_lite/phase6_formal/raw/rq3.json,"replays",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
R3-13,RQ3,reconciliation,"69 blocked-transition events = 20 low-battery defer + 49 blocked-route termination + 0 completed",69,"event count differs from mutually exclusive outcome count",N/A,results/raptor_lite/phase6_formal/phase7_results_freeze/final_results_summary.json,"blocked_transition_reconciliation",ec9d077491c6e705456d84ce0c46be2bd241bad7eb3420401ef495c3db65e99a,verified
